type,category,title,link
classical_art,Abstract,Cubist Composition (1917) ,https://artvee.com/dl/cubist-composition-2/
classical_art,Abstract,Krumauer Stadtlandschaft (1920) ,https://artvee.com/dl/krumauer-stadtlandschaft/
classical_art,Abstract,The cattle on the mountain (1922) ,https://artvee.com/dl/the-cattle-on-the-mountain/
classical_art,Abstract,"Fantasie; profielkop naar rechts in een witte rechthoek, omgeven door zwart (rechtsonder is het zwart gewassen) (1920) ",https://artvee.com/dl/fantasie-profielkop-naar-rechts-in-een-witte-rechthoek-omgeven-door-zwart-rechtsonder-is-het-zwart-gewassen/
classical_art,Abstract,Sculptural Studies (1910 - 1915) ,https://artvee.com/dl/sculptural-studies/
classical_art,Abstract,Kunstgewerbliche Schmuckformen fur die Flache Pl 38 (1920) ,https://artvee.com/dl/kunstgewerbliche-schmuckformen-fur-die-flache-pl-38/
classical_art,Abstract,"Aus meinem Leben, 50 Blätter XII (1923) ",https://artvee.com/dl/aus-meinem-leben-50-blatter-xii/
classical_art,Abstract,"Entrée triomphale d’Henri IV à Paris, d’après Rubens (1858) ",https://artvee.com/dl/entree-triomphale-dhenri-iv-a-paris-dapres-rubens/
classical_art,Abstract,Prismes-31 (1931) ,https://artvee.com/dl/prismes-31/
classical_art,Abstract,archers (1935 - 1937) ,https://artvee.com/dl/archers/
classical_art,Abstract,Hoeing (1925–1933) ,https://artvee.com/dl/hoeing/
classical_art,Abstract,Zelfportret (1906) ,https://artvee.com/dl/zelfportret/
classical_art,Abstract,Ontwerp voor een bord met een Canadese mountie (1874) ,https://artvee.com/dl/ontwerp-voor-een-bord-met-een-canadese-mountie/
classical_art,Abstract,Ornament met bloemen en bladeren (1919-08) ,https://artvee.com/dl/ornament-met-bloemen-en-bladeren/
classical_art,Abstract,Hug (1936) ,https://artvee.com/dl/hug-2/
classical_art,Abstract,Lion hunt for Delacroix (1913) ,https://artvee.com/dl/lion-hunt-for-delacroix/
classical_art,Abstract,Te Fararv – Ici On Fait L’amour (1893-94) ,https://artvee.com/dl/te-fararv-ici-on-fait-lamour/
classical_art,Abstract,"Studie efter kunstnerens eget maleri ‘Dante (profeter, opus 1)’, 1912-13 (1913 – 1914) ",https://artvee.com/dl/studie-efter-kunstnerens-eget-maleri-dante-profeter-opus-1-1912-13/
classical_art,Abstract,Triangel (Triangle) (1910–13) ,https://artvee.com/dl/triangel-triangle/
classical_art,Abstract,A View of Scheveningen,https://artvee.com/dl/a-view-of-scheveningen/
classical_art,Abstract,Entwurf 3 zu ‘Komposition VII’ (1913) ,https://artvee.com/dl/entwurf-3-zu-komposition-vii/
classical_art,Abstract,Deska 0 (1928) ,https://artvee.com/dl/deska-0/
classical_art,Abstract,Cancan,https://artvee.com/dl/cancan/
classical_art,Abstract,"Group IX SUW, The (Swan No. 7_1915) ",https://artvee.com/dl/group-ix-suw-the/
classical_art,Abstract,Tree Forms and Water (circa 1928) ,https://artvee.com/dl/tree-forms-and-water/
classical_art,Abstract,Ontwerp voor raam in het Zuidertransept van de Dom te Utrecht (1850 - 2000) ,https://artvee.com/dl/ontwerp-voor-raam-in-het-zuidertransept-van-de-dom-te-utrecht/
classical_art,Abstract,Ontwerp voor een bord met een tuingezicht (1874) ,https://artvee.com/dl/ontwerp-voor-een-bord-met-een-tuingezicht/
classical_art,Abstract,Nude Male with Fish (1917) ,https://artvee.com/dl/nude-male-with-fish/
classical_art,Abstract,Cottages (1940–1944) ,https://artvee.com/dl/cottages-2/
